Location,Building Number,Gas Meter Asset #,Boiler Asset #,Boiler Type,Boiler Service Level,Date Serviced,Boiler Condition Rating,Boiler Manufacture Year,Boiler Age,Boiler Life Expectancy,Boiler Heating Capacity (kW),Gas Energy Comsumption Gas Per Annum- Measured 2019(GJ),Gas CO2 Emissions Per Annum- Measured (kg),Chiller Full Load COP Est.,Cooling Capacity,Current Chiller Input Electrical Peak Future (kW),Boiler Input Electrical Peak current (kW),Heat Pump Input Electrical Peak Future (kW),HHW feed temperature requirements,Net Electrical Load Change considering diversity between Chiller & heat Pump Usage,Proposed Thermal Hub,,Hub maths,Approximate Building Timeschedule,Can timeschedule be modified to save energy?,can load shedding or other load manipulation be utilised for buildings central heating and cooling systems?,Can space temperature setpoints be adjusted remotely in realtime,Does the building have afterhours push buttons
Hugh Ennor,117,446841,431629,Steam Boiler,Platinum,44225,4,2003 Hunt,18 Years,30 Years,800,17523.49,900584.7216,3.5,1150,328.5714286,5,333.3333333,140,338.0952381,B,0,0,*24/7,No,No,"Yes, in south offica area only. This is approx. 20% of H&C loads","Yes, in south offica area only. This is approx. 20% of H&C loads"
Hugh Ennor,117,446841,431628,Steam Boiler,Platinum,44225,4,2003 Hunt,18 Years,30 Years,800,,,,,,5,333.3333333,140,,,,0,,,,,
CS&IT,108,446807,9911209,Force Draft,Silver,43885,2,1994 TNAR 174,27 Years,30 Years,175,2586.896,132948.3461,5,900,180,2,72.91666667,80,-34.16666667,D,-34.16666667,0,8-530,yes,Yes,Yes,Yes
CS&IT,108,446807,9911210,Force Draft,Silver,43885,2,1994 TNAR 174,27 Years,30 Years,175,,,,,,2,72.91666667,80,,,,0,,,,,
CS&IT,108,446807,9911205,Force Draft,Silver,43879,2,1994 TNAR 174,27 Years,30 Years,175,,,,,,2,72.91666667,80,,,,0,,,,,
CS&IT,108,446807,9911206,Force Draft,Silver,43879,2,1994 TNAR 174,27 Years,30 Years,175,,,,,,2,72.91666667,80,,,,0,,,,,
RG Menzies,2,446842,489278,Condensing Boiler,Silver,44232,4,2013 Rendamax,8 Years,15 Years,300,1518.423,78036.31324,5.5,1400,254.5454545,2,125,80,-4.545454545,F,-4.545454545,0,8-530,yes,yes,yes,No
RG Menzies,2,446842,489277,Condensing Boiler,Silver,44232,4,2013 Rendamax,8 Years,15 Years,300,,,,,,2,125,80,,,,0,,,,,
Law South Wing,5,451465,489270,Condensing Boiler,Silver,44230,4,2014 Rendamax,7 Years,15 Years,285,730.756,37555.74311,0,0,0,2,118.75,80,118.75,F,118.75,0,8-530,yes,yes,yes,no
East Wing - WK Hancock,43,446802,403377,Force Draft,Silver,44231,4,2000 TNAR 174,21 Years,30 Years,175,1887.661,97012.56177,0,0,0,2,72.91666667,80,72.91666667,C,72.91666667,0,8-530,8-530,yes,yes,yes
HC Coombs Lecture Theatre,8A,446844,432256,Atmospheric Boiler,Bronze,44257,4,2016 Raypak,5 Years,15 Years,94,986.478,50698.06385,0,0,0,2,39.16666667,80,39.16666667,F,39.16666667,0,Scheduled based on room bookings,No,yes,yes,no
Chancelery,10C,446828,431083,Force Draft,Silver,44230,4,2006 Presha,15 Years,30 Years,500,1081.948,55604.55356,0,0,0,2,208.3333333,80,208.3333333,F,208.3333333,0,*7-6,yes,yes,yes,no
Psychology Building,39,451527,450274,Force Draft,Silver,44231,4,1997 TNAR 697,24 Years,30 Years,697,1987,102117.891,0,0,0,2,290.4166667,80,580.8333333,D,580.8333333,0,8-530,yes,yes,yes,no
Psychology Building,39,451527,450272,Force Draft,Silver,44231,3,1997 TNAR 697,24 Years,30 Years,697,,,,,,2,290.4166667,80,,,,0,,,,,
Sir Roland Wilson,120,446916,432271,Force Draft,Silver,44229,3,1999 TNAR 232,22 Years,30 Years,232,466.66,23983.05738,0,0,0,2,96.66666667,80,96.66666667,No,96.66666667,96.66666667,8-530,yes,yes,yes,no
The Australian Centre on China in the World,188,490433,462702,Condensing Boiler,Silver,44235,4,2012 Modulex,9 Years,15 Years,300,775,39829.575,3,460,153.3333333,2,125,80,96.66666667,F,96.66666667,0,8-530,yes,yes,yes,yes
The Australian Centre on China in the World,188,490433,462701,Condensing Boiler,Silver,44235,4,2012 Modulex,9 Years,15 Years,300,,,,,,2,125,80,,,,0,,,,,
Beryl Rawson Building,13,451469,440225,Force Draft,Silver,44230,3,2010 TNAR 350,11 Years,30 Years,350,827.233,42513.98557,3,330,110,2,145.8333333,80,35.83333333,H,35.83333333,0,8-530,yes,yes,yes,no
Brian Anderson,115,446794,401001,Force Draft,Silver,44229,3,1996 TNAR 174,25 Years,30 Years,175,684.111,35158.51662,3.5,350,100,2,72.91666667,80,45.83333333,D,45.83333333,0,8-530,yes,yes,yes,yes
Brian Anderson,115,446794,401002,Force Draft,Silver,44229,3,1996 TNAR 174,25 Years,30 Years,175,,,,,,2,72.91666667,80,,,,0,,,,,
RSB Banks,44,446799,454643,Atmospheric Boiler,Bronze,44257,3,2007 raypak,14 Years,15 Years,350,2066.06,106181.0216,0,0,0,2,145.8333333,80,145.8333333,C,145.8333333,0,yes,"Yes, only in 50% of areas actually connected to BMS",not effectively due to BMS,"Yes, only in 50% of areas actually connected to BMS",no
Peter Baume,42A,446922,431329,Force Draft,Silver,44236,4,2003 Roca,18 Years,20 Years,253,960,49337.28,0,0,0,2,105.4166667,80,211.6666667,C,211.6666667,0,,,,,
Peter Baume,42A,446922,440692,Atmospheric Boiler,Silver,44236,4,2006 Raypak,15 Years,15 Years,255,,,,,,2,106.25,80,,,,0,,,,,
Peter Baume,42A,446800,-,-,-,-,-,-,-,-,-,0,0,,,,-,-,-,,,,0,,,,,
Gould Wing,116,446798,401028,Atmospheric Boiler,Silver,44250,3,1996 Hamworthy,25 Years,15 Years,225,817.103,41993.37448,3.5,300,85.71428571,2,93.75,80,8.035714286,C,8.035714286,0,,,,,
Hedley Bull,130,446846,433952,Condensing Boiler,Silver,44231,3,2007 Rendamax,14 Years,15 Years,174,846.642,43511.47231,3.2,450,140.625,2,72.5,80,4.375,F,4.375,0,,,,,
Hedley Bull,130,446846,433951,Condensing Boiler,Silver,44231,4,2007 Rendamax,14 Years,15 Years,174,,,,,,2,72.5,80,,F,,0,,,,,
College of Business and Economics,26C,451466,435690,Force Draft,Silver,44228,4,2009 TNAR 350,11 Years,30 Years,350,1412.962,72616.35607,3,900,300,2,145.8333333,80,-8.333333333,I,-8.333333333,0,,,,,
College of Business and Economics,26C,451466,435691,Force Draft,Silver,44228,4,2009 TNAR 350,11 Years,30 Years,350,,,,,,2,145.8333333,80,,I,,0,,,,,
Physics Link ,38A,446790,458216,Force Draft,Silver,44230,4,2007 Sime,14 Years,30 Years,184,603.982,31040.44693,2.8,245,87.5,2,76.66666667,80,-10.83333333,D,-10.83333333,0,,,,,
Engineering,32,446805,458213,Atmospheric Boiler,Silver,44230,3,2010 Raypak,12 Years,15 Years,410,7250.34,372616.7236,2.8,250,89.28571429,2,170.8333333,80,252.3809524,D,252.3809524,0,,,,,
Ian Ross ,31,446806,458214,Atmospheric Boiler,Silver,44230,3,2010 Raypak,11 Years,15 Years,410,,,,,,2,170.8333333,80,,D,,0,,,,,
Craig,35A,446792,512124,Condensing Boiler,Silver,44242,4,2015 Rendamax,6 Years,15 Years,217,3191.599,164025.8474,3.2,720,225,2,90.41666667,80,-44.16666667,D,-44.16666667,0,,,,,
Craig,35A,446792,512123,Condensing Boiler,Silver,44242,4,2015 Rendamax,6 Years,15 Years,217,,,,,,2,90.41666667,80,,,,0,,,,,
Centre for Arab and Islamic Studies,127,446829,432333,Atmospheric Boiler,Silver,44231,3,2002 Raypak,19 Years,15 Years,150,506.262,26018.32297,0,0,0,2,62.5,80,62.5,F,62.5,0,,,,,
