Timestamp,Autumn,Winter ,Spring,Summer
0:00,0.44,0.16,0.34,0.77
1:00,0.44,0.24,0.34,0.77
2:00,0.44,0.24,0.34,0.77
3:00,0.44,0.48,0.34,0.77
4:00,0.44,0.64,0.34,0.77
5:00,0.88,0.80,0.68,0.77
6:00,2.20,0.96,1.71,1.03
7:00,3.52,1.92,3.89,1.03
8:00,2.64,3.20,3.41,1.03
9:00,2.20,2.24,2.73,1.03
10:00,1.76,2.00,2.05,2.30
11:00,1.76,1.74,1.71,1.03
12:00,1.10,1.60,1.36,1.03
13:00,0.88,1.44,1.02,1.03
14:00,0.88,1.76,0.68,2.11
15:00,0.44,1.60,0.34,1.03
16:00,0.44,0.80,0.34,1.03
17:00,0.44,0.73,0.34,1.03
18:00,0.44,0.32,0.34,1.03
19:00,0.44,0.32,0.34,1.03
20:00,0.44,0.24,0.34,0.77
21:00,0.44,0.24,0.34,0.57
22:00,0.44,0.16,0.34,0.57
23:00,0.44,0.16,0.34,0.57
