Timestamp,Autumn,Winter ,Spring,Summer
0:00,0.77,0.24,0.75,0.00
1:00,0.77,0.24,0.75,0.00
2:00,0.77,0.24,0.75,0.00
3:00,0.77,0.24,0.75,0.00
4:00,0.77,0.24,0.75,0.00
5:00,0.92,0.48,1.12,0.00
6:00,1.23,1.91,1.31,4.80
7:00,1.54,3.83,1.50,4.80
8:00,1.85,3.35,1.68,0.00
9:00,1.54,3.11,1.68,0.00
10:00,1.54,2.39,1.31,0.00
11:00,1.23,1.44,1.31,0.00
12:00,1.08,1.05,1.12,0.00
13:00,0.77,0.96,0.93,0.00
14:00,1.54,1.20,1.12,0.00
15:00,0.77,0.96,0.93,4.80
16:00,0.77,0.48,0.93,4.80
17:00,0.77,0.24,0.75,4.80
18:00,0.77,0.24,0.75,0.00
19:00,0.77,0.24,0.75,0.00
20:00,0.77,0.24,0.75,0.00
21:00,0.77,0.24,0.75,0.00
22:00,0.77,0.24,0.75,0.00
23:00,0.77,0.24,0.75,0.00
