energy_in,avg_temp,temp_sp,temp_out,bld_hrs
6.9,18.98,22.5,5.16,0
7.05,18.92,22.5,5.16,0
5.06,18.84,22.5,5.07,0
7.91,18.8,22.5,4.99,0
4.07,18.78,22.5,4.96,0
7.03,18.72,22.5,4.75,0
5.93,18.67,22.5,4.64,0
7.06,18.59,22.5,4.63,0
6.9,18.55,22.5,4.29,0
6.05,18.47,22.5,3.96,0
6.03,18.41,22.5,3.88,0
7.03,18.37,22.5,3.88,0
7.91,18.29,22.5,3.77,0
8.03,18.22,22.5,3.48,0
10,18.2,22.5,3.24,0
9.03,18.14,22.5,3.05,0
7.03,18.08,22.5,2.78,0
6.9,18.03,22.5,2.53,0
9.03,17.95,22.5,2.33,0
6.03,17.91,22.5,2.2,0
13.95,18.2,22.5,2.16,0
15.08,18.81,22.5,2.05,0
24.95,18.83,22.5,1.85,0
27.97,18.79,22.5,1.83,0
40.99,18.78,22.5,1.85,0
31.1,18.81,22.5,1.83,0
34,18.71,22.5,1.94,0
34,18.42,22.5,2.07,0
63.99,18.08,22.5,2.15,0
76.02,18,22.5,2,0
61,18.15,22.5,2.09,0
65.94,18.38,22.5,2.26,0
67.98,18.69,22.5,2.35,0
51.07,19.14,22.5,2.53,0
66.91,19.22,22.5,2.79,1
45.09,19.32,22.5,3.02,1
58.96,19.28,22.5,3.13,1
56.04,19.43,22.5,3.55,1
46.02,19.46,22.5,3.77,1
53.97,19.35,22.5,3.92,1
53.92,19.47,22.5,4.33,1
36.1,19.57,22.5,4.79,1
56.98,19.72,22.5,5.27,1
43.03,19.68,22.5,5.61,1
33,19.65,22.5,5.88,1
52.89,19.71,22.5,5.98,1
34,19.73,22.5,5.99,1
45.03,19.69,22.5,6.2,1
48.02,19.58,22.5,6.55,1
41,19.56,22.5,6.53,1
61,19.64,22.5,6.88,1
35.04,19.61,22.5,7.57,1
45.96,19.55,22.5,7.7,1
45.03,19.57,22.5,7.7,1
44.92,19.64,22.5,8.07,1
33.09,19.68,22.5,8.51,1
22.99,19.74,22.5,9.05,1
28,19.81,22.5,9.42,1
23.01,19.8,22.5,9.69,1
27.89,19.87,22.5,9.9,1
28.07,19.88,22.5,10.01,1
23.97,19.89,22.5,9.97,1
22.99,19.98,22.5,9.8,1
36.04,19.96,22.5,9.73,1
23.95,19.92,22.5,9.66,1
18.04,19.9,22.5,9.47,1
20.95,19.86,22.5,8.92,1
37.07,19.93,22.5,8.27,1
29.95,19.87,22.5,7.77,1
40,19.84,22.5,7.31,1
38.03,19.75,22.5,6.83,0
40.99,19.7,22.5,6.35,0
32,19.55,22.5,6.03,0
44.03,19.48,22.5,5.62,0
34.01,19.36,22.5,5.31,0
47.99,19.38,22.5,5.01,0
43.98,19.24,22.5,4.81,0
36.06,19.36,22.5,4.77,0
38.91,19.61,22.5,4.72,0
48.06,19.54,22.5,4.48,0
38.03,19.47,22.5,4.27,0
27.9,19.55,22.5,4,0
47.01,19.48,22.5,3.77,0
39.07,19.39,22.5,3.53,0
22.96,19.49,22.5,3.27,0
10,19.34,22.5,3.24,0
6.05,19.14,22.5,3.16,0
7.9,19,22.5,3.11,0
5.06,18.89,22.5,2.96,0
5.93,18.77,22.5,2.81,0
8.03,18.63,22.5,2.74,0
8.03,18.47,22.5,2.7,0
5.05,18.39,22.5,2.52,0
7.91,18.32,22.5,2.33,0
8.03,18.27,22.5,1.98,0
7.03,18.15,22.5,1.41,0
8.03,18.05,22.5,1.26,0
7.9,18,22.5,1.18,0
7.03,17.94,22.5,1.26,0
8.03,17.92,22.5,1.31,0
6.05,17.86,22.5,1.41,0
6.9,17.83,22.5,1.52,0
8.03,17.76,22.5,1.79,0
7.06,17.74,22.5,2.02,0
5.91,17.7,22.5,2.28,0
9.03,17.65,22.5,2.37,0
7.03,17.65,22.5,2.44,0
7.03,17.57,22.5,2.55,0
6.91,17.57,22.5,2.63,0
11,17.52,22.5,2.74,0
8.03,17.51,22.5,2.85,0
8.03,17.45,22.5,2.92,0
6.03,17.43,22.5,3,0
5.94,17.42,22.5,3.11,0
8.03,17.42,22.5,3.22,0
8.03,17.41,22.5,3.33,0
9,17.66,22.5,3.44,0
12.99,18.14,22.5,3.61,0
22.99,18.21,22.5,3.79,0
33.97,18.09,22.5,3.87,0
40.01,18.06,22.5,3.96,0
27.02,18.13,22.5,3.94,0
34.95,18.19,22.5,3.87,0
29.1,18.18,22.5,3.77,0
54.91,17.89,22.5,3.76,0
80.02,17.81,22.5,3.77,0
53.02,18.01,22.5,3.72,0
65,18.14,22.5,3.74,0
72.95,18.33,22.5,3.81,0
50.04,18.46,22.5,3.79,0
63,18.54,22.5,3.92,1
52.05,18.8,22.5,4,1
52.02,18.96,22.5,4.03,1
59,19.08,22.5,4.14,1
45.89,19.13,22.5,4.14,1
56.06,19.15,22.5,4.01,1
69.05,19.1,22.5,4.07,1
47.98,19.11,22.5,4.2,1
63,19.25,22.5,4.42,1
63.93,19.24,22.5,4.48,1
51.01,19.33,22.5,4.64,1
73.99,19.33,22.5,4.87,1
57.01,19.37,22.5,4.96,1
56.07,19.47,22.5,5.16,1
70.9,19.42,22.5,5.4,1
46.1,19.47,22.5,5.42,1
51.96,19.43,22.5,5.33,1
70.98,19.38,22.5,5.37,1
41.06,19.35,22.5,5.55,1
53.94,19.31,22.5,5.7,1
48.03,19.25,22.5,5.88,1
54.95,19.33,22.5,6.05,1
50.03,19.41,22.5,6.25,1
36.98,19.39,22.5,6.29,1
65.06,19.39,22.5,6.36,1
36.02,19.37,22.5,6.33,1
51.96,19.36,22.5,6.35,1
45.03,19.35,22.5,6.31,1
51.95,19.35,22.5,6.25,1
43.98,19.37,22.5,6.23,1
42.05,19.43,22.5,6.7,1
51.04,19.46,22.5,6.66,1
30.98,19.4,22.5,6.31,1
48.94,19.38,22.5,5.75,1
47.01,19.32,22.5,5.35,1
61.04,19.32,22.5,5.01,1
51.01,19.31,22.5,4.64,0
67.96,19.3,22.5,4.24,0
57.97,19.33,22.5,3.88,0
53.01,19.37,22.5,3.55,0
70.08,19.34,22.5,3.33,0
49.94,19.38,22.5,3.18,0
73.99,19.45,22.5,3.15,0
53.04,19.47,22.5,3,0
59.97,19.49,22.5,2.87,0
57.05,19.55,22.5,2.59,0
52.96,19.51,22.5,2.28,0
63.95,19.39,22.5,2.18,0
45.01,19.36,22.5,2.16,0
68.02,19.3,22.5,2.02,0
23.99,19.21,22.5,1.94,0
10.98,18.98,22.5,1.81,0
