load,solar 
2.13,0.0
2.09,0.0
2.3, 0.0
2.11,0.0
2.2, 0.0
2.23,0.0
2.2, 0.0
2.15,0.0
2.02,0.0
2.19,0.0
2.19,0.0
2.19,0.0
2.12,0.0
2.15,0.0
2.25,0.0
2.12,0.0
2.21,0.0
2.16,0.0
2.26,0.05
2.13,0.23
2.08,0.52
2.15,0.74
2.42,0.71
2.02,0.63
2.3, 0.68
2.26,0.97
2.35,0.01
2.55,0.52
3.23,0.83
2.98,0.83
3.49,0.79
3.5, 1.22
3.12,1.36
3.52,1.27
3.94,1.42
3.55,1.97
3.99,2.56
3.71,2.91
3.38,3.24
3.76,3.8 
3.71,4.3 
3.78,4.62
3.29,4.84
3.65,4.6 
3.61,4.17
3.75,3.77
3.38,3.76
3.66,3.38
3.56,2.64
3.69,1.96
3.3, 1.76
3.61,1.85
3.71,2.4 
3.82,3.82
3.17,5.13
3.69,4.97
3.74,5.02
3.86,5.43
3.57,5.32
3.55,3.56
3.75,1.75
3.6, 1.43
3.67,1.65
3.48,1.69
3.51,2.3
3.46,2.71
3.19,2.41
3.38,2.63
3.19,2.6
3.38,1.9
3.04,0.78
3.12,0.13
2.91,0.0 
3.11,0.0 
3.13,0.0 
2.77,0.0 
2.24,0.0 
2.54,0.0 
2.24,0.0 
2.24,0.0 
2.09,0.0 
2.33,0.0 
2.17,0.0 
2.16,0.0 
1.97,0.0 
2.16,0.0 
2.21,0.0 
2.18,0.0 
2.01,0.0 
2.16,0.0 
2.19,0.0 
2.11,0.0 
2.17,0.0 
2.13,0.0 
2.05,0.0 
2.19,0.0 
